"","month","concentration","year","contaminant"
"160","Apr13",0.0446,2010,"NOX"
"161","May13",0.0386774193548387,2010,"NOX"
"162","June13",0.0378,2010,"NOX"
"163","July13",0.0395806451612903,2010,"NOX"
"164","Aug13",0.0530645161290323,2010,"NOX"
"165","Sep13",0.0693,2010,"NOX"
"166","Oct13",0.0694516129032258,2010,"NOX"
"167","Nov13",0.1199,2010,"NOX"
"168","Dec13",0.11958064516129,2010,"NOX"
"169","Jan14",0.153322580645161,2011,"NOX"
"170","Feb14",0.0923214285714286,2011,"NOX"
"171","Mar14",0.0638709677419355,2011,"NOX"
"172","Apr14",0.0389,2011,"NOX"
"173","May14",0.0335161290322581,2011,"NOX"
"174","June14",0.035,2011,"NOX"
"175","July14",0.0307096774193548,2011,"NOX"
"176","Aug14",0.0443225806451613,2011,"NOX"
"177","Sep14",0.0593333333333333,2011,"NOX"
"178","Oct14",0.0911935483870968,2011,"NOX"
"179","Nov14",0.102166666666667,2011,"NOX"
"180","Dec14",0.134903225806452,2011,"NOX"
"181","Jan15",0.20341935483871,2012,"NOX"
"182","Feb15",0.0924827586206897,2012,"NOX"
"183","Mar15",0.0668709677419355,2012,"NOX"
"184","Apr15",0.0415,2012,"NOX"
"185","May15",0.0290322580645161,2012,"NOX"
"186","June15",0.0284666666666667,2012,"NOX"
"187","July15",0.0347741935483871,2012,"NOX"
"188","Aug15",0.0379354838709677,2012,"NOX"
"189","Sep15",0.049,2012,"NOX"
"190","Oct15",0.0826129032258065,2012,"NOX"
"191","Nov15",0.128966666666667,2012,"NOX"
"192","Dec15",0.106032258064516,2012,"NOX"
"193","Jan16",0.10741935483871,2013,"NOX"
"194","Feb16",0.0730357142857143,2013,"NOX"
"195","Mar16",0.0489677419354839,2013,"NOX"
"196","Apr16",0.0337333333333333,2013,"NOX"
"197","May16",0.0256451612903226,2013,"NOX"
"198","June16",0.0274,2013,"NOX"
"199","July16",0.0326451612903226,2013,"NOX"
"200","Aug16",0.0384838709677419,2013,"NOX"
"201","Sep16",0.0414333333333333,2013,"NOX"
"202","Oct16",0.0586129032258065,2013,"NOX"
"203","Nov16",0.0795,2013,"NOX"
"204","Dec16",0.114677419354839,2013,"NOX"
"205","Jan17",0.125322580645161,2014,"NOX"
"206","Feb17",0.0706785714285714,2014,"NOX"
"207","Mar17",0.0541612903225806,2014,"NOX"
"208","Apr17",0.0540666666666667,2014,"NOX"
"209","May17",0.0476774193548387,2014,"NOX"
"210","June17",0.0451333333333333,2014,"NOX"
"211","July17",0.044,2014,"NOX"
"212","Aug17",0.0435483870967742,2014,"NOX"
"213","Sep17",0.0497333333333333,2014,"NOX"
"214","Oct17",0.0609032258064516,2014,"NOX"
"215","Nov17",0.0790333333333333,2014,"NOX"
"216","Dec17",0.0772903225806452,2014,"NOX"
"217","Jan18",0.107516129032258,2015,"NOX"
"218","Feb18",0.0785357142857143,2015,"NOX"
"219","Mar18",0.0786774193548387,2015,"NOX"
"220","Apr18",0.0586333333333333,2015,"NOX"
"221","May18",0.0458064516129032,2015,"NOX"
"222","June18",0.0515666666666667,2015,"NOX"
"223","July18",0.0449677419354839,2015,"NOX"
"224","Aug18",0.0618387096774194,2015,"NOX"
"225","Sep18",0.0663666666666667,2015,"NOX"
"226","Oct18",0.0826451612903226,2015,"NOX"
"227","Nov18",0.0964666666666667,2015,"NOX"
"228","Dec18",0.111967741935484,2015,"NOX"
"229","Jan19",0.0938709677419355,2016,"NOX"
"230","Feb19",0.104827586206897,2016,"NOX"
"231","Mar19",0.0698709677419355,2016,"NOX"
"232","Apr19",0.0572,2016,"NOX"
"233","May19",0.0458709677419355,2016,"NOX"
"234","June19",0.0528,2016,"NOX"
"235","July19",0.0492903225806452,2016,"NOX"
"236","Aug19",0.0554193548387097,2016,"NOX"
"237","Sep19",0.0635666666666667,2016,"NOX"
"238","Oct19",0.0753870967741935,2016,"NOX"
"239","Nov19",0.0989666666666667,2016,"NOX"
"240","Dec19",0.0953548387096774,2016,"NOX"
"241","Jan20",0.0883548387096774,2017,"NOX"
"242","Feb20",0.0693928571428571,2017,"NOX"
"243","Mar20",0.0708064516129032,2017,"NOX"
"244","Apr20",0.0566666666666667,2017,"NOX"
"245","May20",0.0522903225806452,2017,"NOX"
"246","June20",0.0577333333333333,2017,"NOX"
"247","July20",0.0504838709677419,2017,"NOX"
"248","Aug20",0.055,2017,"NOX"
"249","Sep20",0.0579333333333333,2017,"NOX"
"250","Oct20",0.0815161290322581,2017,"NOX"
"251","Nov20",0.0929666666666667,2017,"NOX"
"252","Dec20",0.145774193548387,2017,"NOX"
"253","Jan21",0.108193548387097,2018,"NOX"
"254","Feb21",0.0845,2018,"NOX"
"255","Mar21",0.0646774193548387,2018,"NOX"
"256","Apr21",0.0559,2018,"NOX"
"257","May21",0.0490967741935484,2018,"NOX"
"258","June21",0.0538666666666667,2018,"NOX"
"259","July21",0.0495161290322581,2018,"NOX"
"260","Aug21",0.0485806451612903,2018,"NOX"
"261","Sep21",0.0564,2018,"NOX"
"262","Oct21",0.069,2018,"NOX"
"263","Nov21",0.0949,2018,"NOX"
"264","Dec21",0.103096774193548,2018,"NOX"
"265","Jan22",0.0971612903225806,2019,"NOX"
